OrderID,OrderDate,Category,SubCategory,Segment,CustomerName,Sales,Quantity,Discount,Profit
ORD-000001,2016-02-26,Office Supplies,Art,Corporate,Customer 502,47.36,2,0.13,3.96
ORD-000002,2016-12-27,Furniture,Bookcases,Corporate,Customer 1117,1288.08,5,0.06,220.07
ORD-000003,2016-06-07,Furniture,Furnishings,Consumer,Customer 192,800.53,3,0.03,156.04
ORD-000004,2016-04-19,Furniture,Bookcases,Corporate,Customer 1117,137.78,2,0.05,21.26
ORD-000005,2016-01-21,Office Supplies,Storage,Corporate,Customer 14,112.37,3,0.09,13.16
ORD-000006,2016-01-21,Technology,Accessories,Corporate,Customer 697,1569.98,5,0.09,450.87
ORD-000007,2016-01-08,Office Supplies,Binders,Home Office,Customer 690,19.81,1,0.14,0.85
ORD-000008,2016-08-29,Furniture,Furnishings,Consumer,Customer 705,812.11,5,0.05,102.07
ORD-000009,2016-04-20,Office Supplies,Art,Corporate,Customer 1099,41.03,2,0.05,3.81
ORD-000010,2016-05-27,Furniture,Furnishings,Consumer,Customer 601,220.45,1,0.11,34.81
ORD-000011,2016-01-03,Technology,Machines,Corporate,Customer 143,1109.23,4,0.05,289.63
ORD-000012,2017-02-24,Furniture,Chairs,Corporate,Customer 164,1156.76,4,0.1,140.03
ORD-000013,2016-08-02,Technology,Phones,Consumer,Customer 929,61.23,1,0.04,15.47
ORD-000014,2016-01-29,Office Supplies,Paper,Consumer,Customer 728,59.97,2,0.02,6.82
ORD-000015,2016-01-25,Furniture,Tables,Corporate,Customer 147,429.83,2,0.04,58.43
ORD-000016,2016-01-25,Office Supplies,Binders,Consumer,Customer 502,148.31,5,0.12,11.71
ORD-000017,2016-02-13,Furniture,Furnishings,Consumer,Customer 1141,635.35,3,0.02,115.21
ORD-000018,2016-03-30,Furniture,Tables,Home Office,Customer 115,290.46,1,0.09,49.22
ORD-000019,2016-03-08,Furniture,Bookcases,Home Office,Customer 822,667.25,3,0.12,97.08
ORD-000020,2016-02-11,Office Supplies,Binders,Home Office,Customer 1162,73.12,2,0.08,6.95
ORD-000021,2016-04-23,Technology,Machines,Consumer,Customer 1023,657.99,2,0.01,182.02
ORD-000022,2016-01-19,Office Supplies,Storage,Consumer,Customer 286,17.21,3,0.05,1.56
ORD-000023,2016-02-11,Furniture,Tables,Corporate,Customer 878,291.37,4,0.24,23.34
ORD-000024,2016-02-24,Technology,Copiers,Consumer,Customer 284,597.16,2,0.09,169.89
ORD-000025,2016-03-14,Office Supplies,Art,Corporate,Customer 225,122.47,4,0.06,11.31
ORD-000026,2016-07-03,Furniture,Chairs,Corporate,Customer 865,500.04,3,0.06,81.47
ORD-000027,2016-01-27,Office Supplies,Storage,Consumer,Customer 959,55.93,2,0.06,7.23
ORD-000028,2016-03-27,Office Supplies,Accessories,Home Office,Customer 24,19.35,1,0.03,2.17
ORD-000029,2016-04-17,Office Supplies,Art,Corporate,Customer 1100,124.84,4,0.06,15.17
ORD-000030,2016-01-06,Technology,Machines,Consumer,Customer 891,520.33,1,0.04,153.27
ORD-000031,2016-04-22,Furniture,Bookcases,Home Office,Customer 540,1095.88,4,0.07,187.32
ORD-000032,2016-01-23,Technology,Accessories,Consumer,Customer 218,3.0,4,0.06,0.84
ORD-000033,2016-01-09,Technology,Machines,Home Office,Customer 1040,414.87,2,0.06,109.05
ORD-000034,2016-12-22,Office Supplies,Binders,Consumer,Customer 331,63.36,4,0.05,7.56
ORD-000035,2017-02-08,Office Supplies,Accessories,Home Office,Customer 664,138.11,5,0.06,10.79
ORD-000036,2016-07-17,Office Supplies,Art,Home Office,Customer 630,53.75,3,0.11,3.05
ORD-000037,2016-02-13,Furniture,Chairs,Home Office,Customer 162,3911.83,8,0.06,527.62
ORD-000038,2016-01-13,Furniture,Furnishings,Home Office,Customer 1091,519.14,3,0.11,47.6
ORD-000039,2016-05-18,Technology,Accessories,Corporate,Customer 1126,619.54,3,0.1,150.03
ORD-000040,2016-03-10,Furniture,Furnishings,Home Office,Customer 1105,586.63,3,0.02,89.12
ORD-000041,2016-01-16,Technology,Accessories,Corporate,Customer 818,285.63,1,0.15,72.36
ORD-000042,2016-03-23,Technology,Machines,Consumer,Customer 1060,2050.55,5,0.08,450.13
ORD-000043,2016-01-05,Office Supplies,Binders,Consumer,Customer 693,59.5,2,0.23,1.44
ORD-000044,2016-10-15,Furniture,Chairs,Corporate,Customer 15,365.48,4,0.09,51.46
ORD-000045,2016-02-05,Furniture,Bookcases,Consumer,Customer 65,317.57,1,0.07,45.24
ORD-000046,2016-05-10,Technology,Phones,Consumer,Customer 571,3453.12,6,0.12,764.75
ORD-000047,2016-02-14,Office Supplies,Binders,Consumer,Customer 1170,93.61,3,0.09,11.97
ORD-000048,2016-03-29,Office Supplies,Binders,Corporate,Customer 834,23.91,1,0.15,1.72
ORD-000049,2016-04-04,Furniture,Bookcases,Corporate,Customer 726,318.61,6,0.03,58.8
ORD-000050,2016-01-25,Office Supplies,Storage,Home Office,Customer 111,94.09,6,0.01,10.79
ORD-000051,2017-02-23,Office Supplies,Art,Consumer,Customer 695,125.34,4,0.09,11.35
ORD-000052,2016-06-28,Technology,Phones,Consumer,Customer 390,718.2,4,0.06,195.59
ORD-000053,2016-12-02,Office Supplies,Binders,Consumer,Customer 571,31.56,1,0.04,2.9
ORD-000054,2016-09-27,Office Supplies,Art,Consumer,Customer 1128,107.57,3,0.06,10.79
ORD-000055,2016-04-19,Furniture,Bookcases,Home Office,Customer 485,1061.33,5,0.09,166.95
ORD-000056,2016-11-01,Furniture,Furnishings,Consumer,Customer 822,383.31,2,0.2,29.89
ORD-000057,2016-01-12,Technology,Accessories,Consumer,Customer 800,1022.33,4,0.16,233.17
ORD-000058,2016-01-27,Office Supplies,Storage,Consumer,Customer 1139,54.26,2,0.22,1.9
ORD-000059,2016-01-06,Office Supplies,Storage,Consumer,Customer 608,100.44,5,0.01,9.47
ORD-000060,2016-02-17,Furniture,Bookcases,Corporate,Customer 1111,1076.38,4,0.13,132.12
ORD-000061,2016-02-29,Furniture,Tables,Consumer,Customer 1197,724.47,4,0.01,142.49
ORD-000062,2016-02-07,Office Supplies,Accessories,Consumer,Customer 1041,24.9,1,0.1,1.75
ORD-000063,2016-07-30,Furniture,Chairs,Consumer,Customer 140,630.16,3,0.02,124.51
